aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accountsservice 26.12.8-1
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.2-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
aom 3.13.1-2
apache 2.4.66-1
appstream 1.1.2-1
apr 1.7.6-1
apr-util 1.6.3-2
archlinux-keyring 20260301-1
at-spi2-core 2.58.4-1
attr 2.5.2-1
audit 4.1.3-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1
baobab 49.1-1
base 3-3
base-devel 1-2
bash 5.3.9-1
binutils 2.46-1
bison 3.8.2-8
bluez 5.86-4
bluez-libs 5.86-4
bluez-obex 5.86-4
bolt 0.9.10-1
brltty 6.9-1
brotli 1.2.0-1
btop 1.4.6-1
bubblewrap 0.11.0-2
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.121-1
ca-certificates-utils 20240618-1
caddy 2.10.2-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-2
capstone 5.0.7-2
cdparanoia 10.2-9
chromaprint 1.6.0-2
cifs-utils 7.5-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.8-1
composefs 1.0.8-1
containerd 2.2.2-1
coreutils 9.10-1
cpio 2.15-3
cracklib 2.10.3-1
cryptsetup 2.8.4-1
cups-pk-helper 0.2.7-2
curl 8.19.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.2-1
decibels 49.0-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
djvulibre 3.5.29-1
dkms 3.3.0-1
dmidecode 3.7-1
dnsmasq 2.92-1
docker 1:29.3.0-1
docker-compose 5.1.0-1
dotconf 1.4.1-1
dtc 1.7.2-5
duktape 2.7.0-7
dust 1.2.4-2
e2fsprogs 1.47.4-1
editorconfig-core-c 0.12.10-1
edk2-aarch64 202508-1
edk2-arm 202508-1
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
enchant 2.8.15-1
epiphany 49.3-1
espeak-ng 1.52.0-1
evince 1:48.1-1
evolution-data-server 3.58.3-1
exempi 2.6.6-2
exiv2 0.28.7-1
expat 2.7.5-1
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.2-1
fastfetch 2.60.0-1
ffmpeg 2:8.1-1
fftw 3.3.10-8
file 5.47-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 148.0.2-1
flac 1.5.0-1
flatpak 1:1.16.3-1
flex 2.6.4-5
fluidsynth 2.5.3-1
folks 0.15.9-2
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freerdp 2:3.24.1-1
freetype2 2.14.2-1
fribidi 1.0.16-2
fuse-common 3.18.1-1
fuse2 2.9.9-5
fuse3 3.18.1-1
fzf 0.70.0-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdbm 1.26-2
gdk-pixbuf2 2.44.4-1
gdm 49.2-1
geoclue 2.8.0-1
geocode-glib-2 3.26.4-5
geocode-glib-common 3.26.4-5
gettext 1.0-2
gexiv2 0.16.0-1
gfxstream 0.1.2-2
ghostscript 10.07.0-1
giflib 5.2.2-2
git 2.53.0-1
github-cli 2.88.1-1
gjs 2:1.86.0-2
glib-networking 1:2.80.1-1
glib2 2.86.4-1
glibc 2.43+r5+g856c426a7534-1
glibmm-2.68 2.86.0-1
glm 1.0.3-1
glslang 1:1.4.341.0-2
glu 9.0.3-3
glusterfs 1:11.2-2
glycin 2.0.8-1
gmp 6.3.0-3
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 49.0-1
gnome-bluetooth-3.0 47.1-2
gnome-calculator 49.2-1
gnome-calendar 49.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-connections 49.0-1
gnome-console 49.2-1
gnome-contacts 49.0-1
gnome-control-center 49.6-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-2
gnome-font-viewer 49.0-1
gnome-keybindings 49.6-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gnome-maps 49.5-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-online-accounts 3.56.5-1
gnome-remote-desktop 49.3-1
gnome-session 49.2-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.5-1
gnome-software 49.3-1
gnome-system-monitor 49.1-1
gnome-terminal 3.58.1-1
gnome-text-editor 49.1-1
gnome-tour 49.0-1
gnome-user-docs 49.4-1
gnome-user-share 48.2-1
gnome-weather 49.0-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
go 2:1.26.1-1
gobject-introspection-runtime 1.86.0-2
gom 0.5.6-1
gperftools 2.17.2-1
gpgme 2.0.1-3
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
grilo 0.3.19-1
grilo-plugins 1:0.3.18-1
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gsound 1.0.3-3
gspell 1.14.3-1
gssdp 1.6.4-1
gst-devtools-libs 1.28.1-1
gst-editing-services 1.28.1-1
gst-plugin-gtk 1.28.1-1
gst-plugin-gtk4 0.15.1-1
gst-plugin-pipewire 1:1.6.2-1
gst-plugins-bad 1.28.1-1
gst-plugins-bad-libs 1.28.1-1
gst-plugins-base 1.28.1-1
gst-plugins-base-libs 1.28.1-1
gst-plugins-good 1.28.1-1
gst-python 1.28.1-1
gstreamer 1.28.1-1
gtest 1.17.0-2
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkmm-4.0 4.20.0-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.3-1
gvfs-afc 1.58.3-1
gvfs-dnssd 1.58.3-1
gvfs-goa 1.58.3-1
gvfs-google 1.58.3-1
gvfs-gphoto2 1.58.3-1
gvfs-mtp 1.58.3-1
gvfs-nfs 1.58.3-1
gvfs-onedrive 1.58.3-1
gvfs-smb 1.58.3-1
gvfs-wsdd 1.58.3-1
gzip 1.14-2
harfbuzz 13.2.0-1
